1-2-09-400	Kuleegedara
1-2-09-405	Nawana East
1-2-09-410	Nariyamulla
1-2-09-415	Halpe
1-2-09-420	Parana Halpe West
1-2-09-425	Parana Halpe East
1-2-09-430	Gurullagama
1-2-09-435	Ihala Kithulwala
1-2-09-440	Pahala Kithulwala
1-2-09-445	Kithulwala North
1-2-09-450	Kaluaggala Pahalagama
1-2-09-455	Wattemulla
1-2-09-460	Ihala Madithiyawala
1-2-09-465	Hangawatta
1-2-09-470	Rassapana
1-2-09-475	Balagalla West
1-2-09-480	Parana Handiya
1-2-09-485	Pinnakele
1-2-09-490	Pinnakele South
1-2-09-495	Urapana
1-2-09-500	Kelepitimulla
1-2-09-505	Sayakkaramulla
1-2-09-510	Henpitagedara
1-2-09-515	Aluthepola West
1-2-09-520	Thotillagahawatta
1-2-09-525	Katuwellegama South
1-2-09-530	Palugahawela
1-2-09-535	Dagonna South
1-2-09-540	Hapuwalana South
1-2-09-545	Hapuwalana
1-2-09-550	Bomugammana North
1-2-09-555	Bomugammana South
1-2-09-560	Pinnalanda
1-2-09-565	Divulapitiya
1-2-09-570	Balagalla East
1-2-09-575	Ullapola East
1-2-09-580	Ullapola West
1-2-09-585	Wewagedara
1-2-09-590	Horagasmulla
1-2-09-595	Aswennawatta East
1-2-09-600	Hapuwalana North
1-2-09-605	Aswennawatta West
1-2-09-610	Weragodamulla
1-2-09-615	Aluthepola East
1-2-12-005	Nalla
1-2-12-010	Giriullagama
1-2-12-015	Loluwagoda
1-2-12-020	Delwala South
1-2-12-025	Delwala
1-2-12-030	Loluwagoda South
1-2-12-035	Madurupitiya
1-2-12-040	Hapugahagedara
1-2-12-045	Kadangamuwa
1-2-12-050	Henegama
1-2-12-055	Maladeniya
1-2-12-060	Kahadawa
1-2-12-065	Kandalama
1-2-12-070	Walbotale
1-2-12-075	Perisyala
1-2-12-080	Kamarangawa
1-2-12-085	Keenadeniya
1-2-12-090	Bothale Pahalagama North
1-2-12-095	Maweehena
1-2-12-100	Kurunduwatta
1-2-12-105	Purana Meerigama
1-2-12-110	Hakurukumbura
1-2-12-115	Mugurugampala
1-2-12-120	Vilwatta
1-2-12-125	Thawalampitiya
1-2-12-130	Bothale Pahalagama
1-2-12-135	Bothale Pahalagama West
1-2-12-140	Bothale Medagama
1-2-12-145	Bothale Pahalagama East
1-2-12-150	Thalagama East
1-2-12-155	Thalagama
1-2-12-160	Balathawa
1-2-12-165	Makura
1-2-12-170	Pottekanda
1-2-12-175	Bothale Iahalagama
1-2-12-180	Adagalakanda
1-2-12-185	Ihala Halugama
1-2-12-190	Kidiwala
1-2-12-195	Pahala Halugama
1-2-12-200	Meerigama
1-2-12-205	Walawwatta
1-2-12-210	Thilinagama
1-2-12-215	Vijayarajadahana
1-2-12-220	Ihala Neligama
1-2-12-225	Neligama Central
1-2-12-230	Neligama
1-2-12-235	Lindara
